rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 || ['e2e4', 'd2d4']
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1 || ['c7c6', 'c7c5']
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2 || ['c2c4', 'f1e2']
rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2 || ['d7d5', 'e7e6']
rnbqkbnr/pp2pppp/2p5/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['c4d5', 'e4d5']
rnbqkbnr/pp1p1ppp/2p1p3/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['b1c3', 'd2d4']
rnbqkbnr/pp2pppp/2pp4/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['d2d4', 'g1f3']
rnbqkbnr/pp1p1ppp/2p5/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['g1f3', 'b1c3']
rnbqkbnr/pp1ppppp/8/2p5/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['g1f3', 'g1e2']
rnb1kbnr/ppqppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 1 3 || ['b1c3', 'g1f3']
rnbqkbnr/pp1ppp1p/2p3p1/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['d2d4', 'g1f3']
rnbqkb1r/pp1ppppp/2p2n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 1 3 || ['e4e5', 'b1c3']
rnb1kbnr/pp1ppppp/2p5/q7/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 1 3 || ['b1c3', 'a2a3']
r1bqkbnr/pp1ppppp/n1p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 1 3 || ['d2d4', 'b1c3']
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPPBPPP/RNBQK1NR b KQkq - 1 2 || ['d7d5', 'd7d6']
rnbqkbnr/pp2pppp/2p5/3p4/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['e4e5', 'e4d5']
rnbqkbnr/pp2pppp/2pp4/8/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['b1c3', 'd2d4']
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['h2h4', 'b1c3']
rnbqkbnr/pp1p1ppp/2p5/4p3/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['d2d4', 'g1f3']
rnbqkbnr/pp1pppp1/2p4p/8/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['g1f3', 'c2c4']
rnbqkbnr/1p1ppppp/p1p5/8/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['d2d4', 'c2c4']
rnbqkbnr/pp1pppp1/2p5/7p/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['d2d4', 'b1c3']
rnbqkbnr/1p1ppppp/2p5/p7/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['d2d4', 'c2c4']
rnbqkbnr/pp1ppp1p/2p3p1/8/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 0 3 || ['d2d4', 'g1f3']
r1bqkbnr/pp1ppppp/n1p5/8/4P3/8/PPPPBPPP/RNBQK1NR w KQkq - 2 3 || ['c2c3', 'd2d4']
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2 || ['d7d5', 'd7d6']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 || ['e4e5', 'b1c3']
rnbqkbnr/pp2pppp/2pp4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 || ['b1c3', 'c2c3']
rnbqkbnr/pp1ppp1p/2p3p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 || ['c2c4', 'g1f3']
rnbqkbnr/1p1ppppp/p1p5/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 || ['f1d3', 'c2c4']
rnbqkbnr/pp1p1ppp/2p1p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 || ['b1c3', 'g1f3']
rnbqkbnr/1p1ppppp/2p5/p7/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 || ['g1f3', 'b1c3']
rnbqkbnr/pp1pppp1/2p4p/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3 || ['c2c4', 'b1c3']
rnb1kbnr/ppqppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3 || ['b1c3', 'f1c4']
rnbqkbnr/pp1ppppp/2p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2 || ['d7d5', 'a7a6']
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['e4e5', 'b1c3']
rnbqkbnr/1p1ppppp/p1p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['d2d4', 'b1c3']
rnbqkbnr/pp1ppp1p/2p3p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['d2d4', 'f1e2']
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['b2b4', 'c2c3']
rnbqkbnr/pp2pppp/2pp4/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['d2d4', 'b1c3']
rnbqkbnr/pp1pppp1/2p4p/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['c2c4', 'd2d4']
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['d2d4', 'b1c3']
rnb1kbnr/pp1ppppp/2p5/q7/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3 || ['c2c3', 'f1e2']
rnbqkbnr/1p1ppppp/2p5/p7/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3 || ['c2c4', 'd2d4']
rnb1kbnr/ppqppppp/2p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3 || ['b1c3', 'd2d4']
rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2 || ['d7d5', 'd7d6']
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3 || ['g1f3', 'd2d4']
rnbqkbnr/pp2pppp/2pp4/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3 || ['d2d4', 'a2a4']
rnbqkbnr/pp1p1ppp/2p5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3 || ['d2d4', 'f1c4']
rnbqkbnr/pp1ppp1p/2p3p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3 || ['d2d4', 'g1f3']
rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3 || ['g1f3', 'g1e2']
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3 || ['d2d4', 'g1f3']
rnbqkbnr/pp1pppp1/2p4p/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3 || ['d2d4', 'f2f3']
rnbqkbnr/pp1ppppp/2p5/8/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2 || ['d7d5', 'e7e5']
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['e4e5', 'e4d5']
rnbqkbnr/pp1p1ppp/2p5/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['d2d4', 'g1f3']
rnbqkb1r/pp1ppppp/2p2n2/8/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 3 || ['e4e5', 'f2f3']
rnbqkbnr/pp1pppp1/2p4p/8/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['d2d4', 'g1e2']
rnbqkbnr/1p1ppppp/p1p5/8/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3 || ['d2d4', 'g1f3']
